#,句子,模型_intent,模型_skill,模型_slots,延迟_ms,预期_intent,预期_skill,预期_slots,判定,失败原因,真实意图(你填)
1,今天天气真好啊,chat,,,1080,chat,,,PASS,,
2,你觉得人为什么会焦虑,chat,,,492,chat,,,PASS,,
3,讲个冷笑话听听,chat,,,1143,chat,,,PASS,,
4,我饿了,chat,,,886,chat,,,PASS,,
5,什么是量子纠缠,chat,,,3057,chat,,,PASS,,
6,帮我想个周末计划,chat,,,1419,chat,,,PASS,,
7,最近睡眠不太好，有什么建议,chat,,,495,chat,,,PASS,,
8,这首歌挺好听的,chat,,,492,chat,,,PASS,,
9,放首歌,action,play_music,"query:"""", shuffle:true",1455,action,play_music,,PASS,,
10,播放周杰伦的夜曲,action,play_music,"query:""夜曲"", shuffle:true",1512,action,play_music,,PASS,,
11,暂停,action,music_control,"action:""pause""",1335,action,music_control,"action:""pause""",PASS,,
12,继续播放,action,music_control,"action:""shuffle"", value:true",1491,action,music_control,"action:""pause""",FAIL,slot.action=shuffle want=pause,
13,循环播放,action,music_control,"action:""repeat"", value:""all""",1543,action,music_control,"action:""repeat""",PASS,,
14,放第三首,action,play_music,"query:""第三首"", shuffle:true",1545,action,play_music,,PASS,,
15,随便放点轻音乐,action,play_music,"query:""轻音乐"", shuffle:true",1521,action,play_music,,PASS,,
16,声音大一点,action,music_control,"action:""volume"", value:80",1576,action,music_control,"action:""volume""",PASS,,
17,开灯,action,smart_device,"action:""on"", device:""灯""",1552,action,smart_device,"action:""on""",PASS,,
18,关掉客厅的灯,action,smart_device,"action:""off"", device:""客厅 灯""",1636,action,smart_device,"action:""off""",PASS,,
19,把卧室灯调暗一点,chat,,,802,chat,,,PASS,,
20,开空气净化器,action,smart_device,"action:""on"", device:""空气净化器""",1603,action,smart_device,"action:""on""",PASS,,
21,把灯光调到暖色,chat,,,930,chat,,,PASS,,
22,关掉所有灯,action,smart_device,"action:""off"", device:""所有 灯""",1642,action,smart_device,"action:""off""",PASS,,
23,把风扇关掉,action,smart_device,"action:""off"", device:""风扇""",1560,action,smart_device,"action:""off""",PASS,,
24,我心情不好，想听首歌,action,play_music,"query:""一首歌"", shuffle:true",1528,action,play_music,,PASS,,
25,好烦，把它关了吧,unclear,,,769,unclear,,,PASS,,
26,灯光能不能再柔和点,chat,,,1108,chat,,,PASS,,
27,帮我订明天去北京的机票,chat,,,987,chat,,,PASS,,
28,那个…放个…算了,unclear,,,958,unclear,,,PASS,,
29,帮我…,unclear,,,841,unclear,,,PASS,,
30,嗯,chat,,,402,chat,,,PASS,,
31,你说呢,chat,,,406,chat,,,PASS,,
32,把空调调到 26 度,chat,,,803,chat,,,PASS,,
33,给张三发个微信说我迟到了,chat,,,901,chat,,,PASS,,
34,帮我打车去机场,chat,,,961,chat,,,PASS,,
35,设个 7 点的闹钟,chat,,,928,chat,,,PASS,,
36,现在几点,chat,,,1147,chat,,,PASS,,
37,今天是几号,chat,,,1076,chat,,,PASS,,
38,纽约现在的天气怎么样,chat,,,985,chat,,,PASS,,
39,明天会下雨吗,chat,,,896,chat,,,PASS,,
40,美股今天怎么样,chat,,,1459,chat,,,PASS,,
41,播放,unclear,,,770,unclear,,,PASS,,
42,开,unclear,,,736,unclear,,,PASS,,
43,把音乐关了,action,music_control,"action:""stop""",1334,action,music_control,"action:""stop""",PASS,,
44,开卧室灯,action,smart_device,"action:""on"", device:""卧室 灯""",1669,action,smart_device,"action:""on""",PASS,,
45,你叫什么名字,chat,,,992,chat,,,PASS,,
46,你是什么模型,chat,,,1030,chat,,,PASS,,
47,介绍一下你自己,chat,,,1708,chat,,,PASS,,
48,我今天心情有点低落,chat,,,498,chat,,,PASS,,
49,最近工作压力好大,chat,,,496,chat,,,PASS,,
50,你会做饭吗,chat,,,526,chat,,,PASS,,
51,给我推荐一本书,chat,,,959,chat,,,PASS,,
52,人生的意义是什么,chat,,,1263,chat,,,PASS,,
53,我该不该换工作,chat,,,495,chat,,,PASS,,
54,解释一下深度学习,chat,,,2059,chat,,,PASS,,
55,来首周杰伦,action,play_music,"query:""周杰伦"", shuffle:true",1561,action,play_music,,PASS,,
56,播放一下最近的新歌,action,play_music,"query:""最近的新歌"", shuffle:true",1564,action,play_music,,PASS,,
57,放点安静的音乐,action,play_music,"query:""安静的音乐"", shuffle:true",1597,action,play_music,,PASS,,
58,放一首摇滚乐,action,play_music,"query:""摇滚乐"", shuffle:true",1636,action,play_music,,PASS,,
59,切到下一首,action,music_control,"action:""next""",1414,action,music_control,"action:""next""",PASS,,
60,跳过这首,action,music_control,"action:""next""",1407,action,music_control,"action:""next""",PASS,,
61,回到上一首,action,music_control,"action:""previous""",1386,action,music_control,"action:""previous""",PASS,,
62,音量调到 50,action,music_control,"action:""volume"", value:50",1620,action,music_control,"action:""volume""",PASS,,
63,静音,action,music_control,"action:""volume"", value:0",1608,action,music_control,"action:""volume""",PASS,,
64,放大声点,action,music_control,"action:""volume"", value:80",1603,action,music_control,"action:""volume""",PASS,,
65,单曲循环这首,action,music_control,"action:""repeat"", value:""one""",1555,action,music_control,"action:""repeat""",PASS,,
66,取消循环,action,music_control,"action:""repeat"", value:""off""",1563,action,music_control,"action:""repeat""",PASS,,
67,随机播放,action,music_control,"action:""shuffle"", value:true",1522,action,music_control,"action:""shuffle""",PASS,,
68,按顺序播放,action,music_control,"action:""shuffle"", value:false",1543,action,music_control,"action:""shuffle""",PASS,,
69,停止播放,action,music_control,"action:""stop""",1359,action,music_control,"action:""stop""",PASS,,
70,打开书房的灯,action,smart_device,"action:""on"", device:""书房的灯""",1641,action,smart_device,"action:""on""",PASS,,
71,关上厨房的灯,action,smart_device,"action:""off"", device:""厨房 灯""",1684,action,smart_device,"action:""off""",PASS,,
72,打开走廊的灯,action,smart_device,"action:""on"", device:""走廊 灯""",1677,action,smart_device,"action:""on""",PASS,,
73,把阳台灯关了,action,smart_device,"action:""off"", device:""阳台 灯""",1680,action,smart_device,"action:""off""",PASS,,
74,开电扇,action,smart_device,"action:""on"", device:""电扇""",1649,action,smart_device,"action:""on""",PASS,,
75,关掉所有插座,action,smart_device,"action:""off"", device:""所有 插座""",1680,action,smart_device,"action:""off""",PASS,,
76,开饮水机,action,smart_device,"action:""on"", device:""饮水机""",1637,action,smart_device,"action:""on""",PASS,,
77,关加湿器,action,smart_device,"action:""off"", device:""加湿器""",1668,action,smart_device,"action:""off""",PASS,,
78,把所有设备都关了,action,smart_device,"action:""off"", device:""全部""",1627,action,smart_device,"action:""off""",PASS,,
79,看看我有哪些设备,action,smart_device,"action:""list"", device:""设备""",1618,action,smart_device,"action:""list""",PASS,,
80,我都有什么音乐,action,list_music,,1222,action,list_music,,PASS,,
81,开主卧灯和客厅灯,action,smart_device,"action:""on"", device:""主卧灯和客厅灯""",1803,action,smart_device,"action:""on""",PASS,,
82,把全屋灯都打开,action,smart_device,"action:""on"", device:""全部""",1617,action,smart_device,"action:""on""",PASS,,
83,打开卫生间的灯,action,smart_device,"action:""on"", device:""卫生间 灯""",1675,action,smart_device,"action:""on""",PASS,,
84,关灯,action,smart_device,"action:""off"", device:""灯""",1572,action,smart_device,"action:""off""",PASS,,
85,帮我放首歌吧，我想静一静,action,play_music,"query:"""", shuffle:true",1802,action,play_music,,PASS,,
86,好累，来点轻音乐,action,play_music,"query:""轻音乐"", shuffle:true",1521,action,play_music,,PASS,,
87,灯太亮了,chat,,,1023,chat,,,PASS,,
88,灯有点暗,chat,,,1058,chat,,,PASS,,
89,音乐太吵了,chat,,,1079,action,music_control,,PASS,,
90,背景音乐换一下,action,music_control,"action:""shuffle"", value:true",1493,action,play_music,,FAIL,skill=music_control want=play_music,
91,能不能把灯关一下,action,smart_device,"action:""off"", device:""灯""",1563,action,smart_device,"action:""off""",PASS,,
92,帮我把音乐声音关小,action,music_control,"action:""volume"", value:30",1555,action,music_control,"action:""volume""",PASS,,
93,音乐听着好烦,chat,,,499,chat,,,PASS,,
94,这歌真的好听，别停,chat,,,505,chat,,,PASS,,
95,那个,unclear,,,812,unclear,,,PASS,,
96,呃…,unclear,,,819,unclear,,,PASS,,
97,我想…,unclear,,,696,unclear,,,PASS,,
98,等等,unclear,,,905,chat,,,PASS,,
99,嗯嗯嗯,chat,,,686,chat,,,PASS,,
100,哦,chat,,,814,chat,,,PASS,,
101,算了,chat,,,807,chat,,,PASS,,
102,好吧,chat,,,809,chat,,,PASS,,
103,帮我订一个饭店,chat,,,1003,chat,,,PASS,,
104,查一下我的快递,chat,,,788,chat,,,PASS,,
105,查我的日历,chat,,,814,chat,,,PASS,,
106,提醒我下午 3 点开会,chat,,,941,chat,,,PASS,,
107,定个 10 分钟的计时器,chat,,,879,chat,,,PASS,,
108,帮我翻译一下这句话,chat,,,878,chat,,,PASS,,
109,转账给张三 100 元,chat,,,941,chat,,,PASS,,
110,帮我写邮件给老板,chat,,,966,chat,,,PASS,,
111,打开网易云音乐 app,unclear,,,1006,chat,,,FAIL,intent=unclear want=chat|action,
112,开 QQ 音乐,action,smart_device,"action:""on"", device:""QQ 音乐""",1657,chat,,,PASS,,
113,上海现在几点了,chat,,,1250,chat,,,PASS,,
114,今天星期几,chat,,,870,chat,,,PASS,,
115,下周一是几号,chat,,,1249,chat,,,PASS,,
116,北京明天最高气温多少,chat,,,1029,chat,,,PASS,,
117,苹果股价多少,chat,,,967,chat,,,PASS,,
118,比特币现在多少钱,chat,,,963,chat,,,PASS,,
119,汇率怎么查,chat,,,1182,chat,,,PASS,,
120,麻烦把灯打开,action,smart_device,"action:""on"", device:""灯""",1566,action,smart_device,"action:""on""",PASS,,
121,请播放音乐,action,play_music,"query:"""", shuffle:true",1462,action,play_music,,PASS,,
122,可以把音量调大吗,action,music_control,"action:""volume"", value:80",1563,action,music_control,"action:""volume""",PASS,,
123,关下客厅灯好吗,action,smart_device,"action:""off"", device:""客厅 灯""",1661,action,smart_device,"action:""off""",PASS,,
124,能帮我放首歌吗,action,play_music,"query:"""", shuffle:true",1443,action,play_music,,PASS,,
